 restaurant_id |                           restaurant_name                            |                                                                                                           restaurant_icon                                                                                                            |                                                                                                                                                                                                                                                                                                                                                                restaurant_description                                                                                                                                                                                                                                                                                                                                                                |                                           restaurant_address                                           | restaurant_latitude | restaurant_longitude |           restaurant_state           |                                                                                                                            food_type                                                                                                                            |    episode_info     
            10 | Riddim N Spice                                                       | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/10/22/DV3414_bbq-beef-jackfruit_s4x3.jpg.rend.hgtvcom.231.174.suffix/1634914510109.jpeg                                                                                   | Inspired by their love for Caribbean food, Jamaican brothers Kamal Kalokoh and Rashean Conaway created Riddim N Spice for those craving a taste of island food. Their dishes including barbeque jerk jackfruit, snapper and peas and rice.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 2116 Meharry Blvd, Nashville, TN 37208, USA                                                            |          36.1678822 |   -86.81069769999999 | Nashville, TN                        | ChIJX3uk6tpmZIgR3vsiYcyGmbg                                                                                                                                                                                                                                     | test_episode_info0
            11 | Arempa's                                                             | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/10/22/DV3414_Pulled-Pork-Patacon_s4x3.jpg.rend.hgtvcom.231.174.suffix/1634914509643.jpeg                                                                                  | Arepas, empanadas, cachapa and pabellon are some of the Venezuelan fare you'll find at Arempa's, with some vegan options.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 350 S State St, Salt Lake City, UT 84111, USA                                                          |           40.761619 |         -111.8886482 | Salt Lake City, UT                   | Ei0zNTAgUyBTdGF0ZSBTdCwgU2FsdCBMYWtlIENpdHksIFVUIDg0MTExLCBVU0EiMRIvChQKEgnRTte9EfVShxFQzjNQ5ybGJhDeAioUChIJmaP79MyKUocRIGkC3UTirdI                                                                                                                             | test_episode_info0
            12 | Rockin' Dave's Bagel Bistro                                          | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/10/22/DV3414__jalapeno-bagels_s4x3.jpg.rend.hgtvcom.231.174.suffix/1634914510472.jpeg                                                                                     | David Flier, a lover of food and a lover of music, combined his loves to create Rockin' Dave's Bagel Bistro & Backstage Lounge. At this friendly, casual dining restaurant, patrons can customize a bagel order, choose from an extensive menu with vegan and gluten-free options or enjoy the surprise monthly special.                                                                                                                                                                                                                                                                                                                                                                                                                             | 661 NE Greenwood Ave, Bend, OR 97701, USA                                                              |          44.0596345 |          -121.296113 | Bend, OR                             | ChIJPZuUGB_GuFQRITULLNsfHq4                                                                                                                                                                                                                                     | test_episode_info0
            39 | Lalibela                                                             | static/img/attachment-guys-diner-background.jpg                                                                                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 200 S Kiwanis Ave, Sioux Falls, SD 57104, USA                                                          |          43.5457204 |   -96.76075399999999 | Sioux Falls, SD                      | ChIJz4QdKGXKjocRJaucuFw5_9E                                                                                                                                                                                                                                     | test_episode_info2
            13 | The Pit Room                                                         | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/10/14/DV3413_brisket-tacos_s4x3.jpg.rend.hgtvcom.231.174.suffix/1634235906143.jpeg                                                                                        | Michael Sambrooks and Bramwell Tripp put their shared passion for delicious food and years of culinary experience together to create The Pit Room. Their dishes feature homemade recipes, created and smoked from scratch. In addition to barbeque, the pair serve up (breakfast) tacos.                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 1201 Richmond Ave., Houston, TX 77006, USA                                                             |          29.7342056 |          -95.3940574 | Houston, TX                          | ChIJyYzif4LAQIYRIu8GqVp3bf4                                                                                                                                                                                                                                     | test_episode_info0
            14 | Soy Bistro                                                           | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/10/14/DV3413__spicy-bork-bulgogi_s4x3.jpg.rend.hgtvcom.231.174.suffix/1634235905928.jpeg                                                                                  | A family-owned and operated restaurant that serves Korean cuisine; their house favorites are Bibimbap, Gochujang Chicken and Spicy Pork Bulgogi. Kenji Ichikawa, patron-turned-(co)owner, says he loves the level of attention Soy Bistro gives to their cuisine and to their customers, pledging to uphold the standard.                                                                                                                                                                                                                                                                                                                                                                                                                            | 5008 Maryland Way, Brentwood, TN 37027, USA                                                            |          36.0348465 |   -86.79296049999999 | Brentwood, TN                        | ChIJmYlUvDp7ZIgRGWYPFy3fWLQ                                                                                                                                                                                                                                     | test_episode_info0
            15 | Once Upon A Thyme                                                    | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/10/14/DV3413_meatloaf-panini_s4x3.jpg.rend.hgtvcom.231.174.suffix/1634235906359.jpeg                                                                                      | This quaint and cute restaurant serves lunch, with vegetarian and vegan options, in a friendly space that is also home to a retail store, a garden and office spaces. The dishes are made from scratch, with a few patrons can purchase for carry-out or learn to make for themselves through cooking classes offered at the restaurant.                                                                                                                                                                                                                                                                                                                                                                                                             | 1090 NW State Ave, Chehalis, WA 98532, USA                                                             |           46.671021 |          -122.973593 | Chehalis, WA                         | ChIJMw7T-irgk1QRS7WjGSCZHZU                                                                                                                                                                                                                                     | test_episode_info0
            16 | Mackinaw's Restaurant                                                | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/09/29/DV3412_Pakistani-Oxtail-Curry_s4x3.jpg.rend.hgtvcom.231.174.suffix/1632949316032.jpeg                                                                               | Mackinaw's eclectic menu features dishes made from farm-to-table ingredients. Inspired by food from all over the map, some of their signature dishes are Duck Breast, Southwestern Braised Rabbit and Oxtail Pakistani Curry.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 545 N Market Blvd #1, Chehalis, WA 98532, USA                                                          |          46.6655556 |         -122.9708333 | Chehalis, WA                         | ChIJDQ8_EtThk1QR-qimFPDRxL0                                                                                                                                                                                                                                     | test_episode_info1
            17 | The Toasted Coconut                                                  | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/09/29/DV3412_Pork-Dumplings_s4x3.jpg.rend.hgtvcom.231.174.suffix/1632949316290.jpeg                                                                                       | Inspired by island cuisine, Martin and Sara Stayer created The Toasted Coconut for a stay-cation culinary experience. The brunch and dinner menu feature tropical takes on curries, sandwiches and fish dishes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 1617 Richmond Ave., Houston, TX 77006, USA                                                             |          29.7341294 |          -95.4001929 | Houston, TX                          | ChIJtRndiYTAQIYR0KVbKICzNHk                                                                                                                                                                                                                                     | test_episode_info1
            18 | Zydeco Kitchen & Cocktails                                           | static/img/attachment-guys-diner-background.jpg                                                                                                                                                                                      | Chef Steve Helt serves up familiar Northwestern dishes made with a Southern twist and cocktails. Zydeco's offers a gluten-free menu, so that there is something on the menu for everyone.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 919 NW Bond St, Bend, OR 97703, USA                                                                    |           44.058662 |         -121.3132119 | Bend, OR                             | ChIJM8F0Z53IuFQR3ObG1ow-vHg                                                                                                                                                                                                                                     | test_episode_info1
            19 | NW Sausage and Deli                                                  | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/09/02/DV3411_House-Pastrami-on-Rye_s4x3.jpg.rend.hgtvcom.231.174.suffix/1630595833205.jpeg                                                                                | NW Sausage and Deli is home to more than 20 original recipes for smoked meats. The meats are prepared Old World style and include sausage, jerky and pepperoni and can be paired with original brews on tap.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 5945 Prather Rd SW, Centralia, WA 98531, USA                                                           |          46.7715548 |         -123.0074005 | Centralia, WA                        | ChIJK3ppAnJhkVQR2evoMhHfTfk                                                                                                                                                                                                                                     | test_episode_info1
            20 | Matteo's Osteria                                                     | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/09/02/DV3411_Lamb-Shank-Osobucco_s4x3.jpg.rend.hgtvcom.231.174.suffix/1630595832716.jpeg                                                                                  | In addition to its extensive wine menu (as every osteria should have), Matteo's Osteria has classic Italian fare such as salad, pizza and pasta with some vegan options.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 161 Wailea Ike Pl STE A107, Wailea, HI 96753, USA                                                      |          20.6889729 |         -156.4352858 | Wailea-Makena, HI                    | ChIJGb7tx9HaVHkRFdOV5Kxbr-A                                                                                                                                                                                                                                     | test_episode_info1
            21 | Be More Pacific                                                      | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/09/02/DV3411_Kare-Kare_s4x3.jpg.rend.hgtvcom.231.174.suffix/1630595833052.jpeg                                                                                            | Be More Pacific is all about Filipino tradition: their variety of dishes have been passed down through generations and infused with each chef's personal touch. Be More Pacific celebrates other aspects of Filipino culture, including hosting karaoke, a kamayan eating experience and a monthly Filipino-owned market.                                                                                                                                                                                                                                                                                                                                                                                                                            | 506 Yale St e, Houston, TX 77007, USA                                                                  |          29.7801231 |   -95.39845389999999 | Houston, TX                          | EiU1MDYgWWFsZSBTdCBlLCBIb3VzdG9uLCBUWCA3NzAwNywgVVNBIh0aGwoWChQKEgkbfm86V8dAhhFR5wHSL4muZBIBZQ                                                                                                                                                                  | test_episode_info1
            22 | Weights + Measures                                                   | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/08/30/DV3410_Roasted-Carrot-Pizza_s4x3.jpg.rend.hgtvcom.231.174.suffix/1630335277939.jpeg                                                                                 | Housed in a repurposed warehouse and the brainchild of four partners: a developer, a chef, a baker and a bartender; Weights + Measures is a casual restaurant, bakery and bar serving comfort food in a relaxed space.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 2808 Caroline St, Houston, TX 77004, USA                                                               |           29.742625 |          -95.3727723 | Houston, TX                          | ChIJSSEMSxO_QIYRhTtDzkc9C8g                                                                                                                                                                                                                                     | test_episode_info1
            23 | Fresco Cafe Italiano                                                 | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/08/30/DV3410_Spaghetti-alla-carbonara_s4x3.jpg.rend.hgtvcom.231.174.suffix/1630335278071.jpeg                                                                             | Chef Roberto Crescini trained in Italy, honing his culinary skills for decades before bringing them to Houston to serve a variety of made-to-order meals, including classic dishes like bolognese, lamb, pasta and pizza. At Fresco Cafe Italiano, patrons can expect authentic, fresh Italian dishes made in-house with ingredients imported from Italy.                                                                                                                                                                                                                                                                                                                                                                                            | 3277 Southwest Fwy a, Houston, TX 77027, USA                                                           |          29.7286485 |          -95.4317975 | Houston, TX                          | EiwzMjc3IFNvdXRod2VzdCBGd3kgYSwgSG91c3RvbiwgVFggNzcwMjcsIFVTQSIdGhsKFgoUChIJFVtbvv7AQIYRq2WMHXXLXR8SAWE                                                                                                                                                         | test_episode_info1
            24 | Joey's Kitchen                                                       | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/07/09/DV3407_Crispy-Pata_s4x3.jpg.rend.hgtvcom.231.174.suffix/1625849838280.jpeg                                                                                          | Chef Joey Macadangdang is a student of Hawaiin culinary arts, as evidenced by his carefully and artfully prepared dishes made with fresh ingredients like fish, pork, okra, long beans and eggplant. The menu also reflects the Filipino, Chinese, Japanese and Portuguese flavors that inspire the food.                                                                                                                                                                                                                                                                                                                                                                                                                                            | 5095 Napilihau St, Lahaina, HI 96761, USA                                                              |          20.9850372 |         -156.6674133 | Lahaina, HI                          | ChIJUS5m6VTUqn4RMYvBEWxlY3I                                                                                                                                                                                                                                     | test_episode_info1
            25 | Traveler's Table                                                     | static/img/attachment-guys-diner-background.jpg                                                                                                                                                                                      | Traveler's Table believes that food connects people and creates a point of connectivity, and as such, they are inspired by food and drink from around the world. On their menu, you'll find dishes inspired by Vietnamese, Caribbean and Hawaiin cuisine, to name a few.                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 520 Westheimer Rd, Houston, TX 77006, USA                                                              |          29.7448089 |   -95.38830899999999 | Houston, TX                          | ChIJpTXXx2a_QIYR7n2pefRMXKs                                                                                                                                                                                                                                     | test_episode_info1
            40 | The Hungry Robot                                                     | //food.fnr.sndimg.com/content/dam/images/food/fullset/2020/29/DV3306__Burning-Bumble-Bee-Pizza_s4x3.jpg.rend.hgtvcom.231.174.suffix/1609268556911.jpeg                                                                               | The Hungry Robot makes their dough and sauces from scratch, prepares all pizzas to order and bakes them in 90 seconds in their wood fired oven.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 910 Old Steese Hwy, Fairbanks, AK 99701, USA                                                           |          64.8533041 |         -147.6899443 | Fairbanks, AK                        | ChIJH1QptGlFMlERdbOWDMUQuLY                                                                                                                                                                                                                                     | test_episode_info2
            26 | The Butcher Shop Beer Garden & Grill                                 | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/08/06/DV3409__churrasco-steak-burger_s4x3.jpg.rend.hgtvcom.231.174.suffix/1628265312768.jpeg                                                                              | Igor and Fred Niznik, a father-son duo, took on the creative challenge of opening a restaurant and combined their passion for food, beer and quality to transform a butcher shop into a dining hotspot. The full service butcher shop is still a feature of the restaurant; patrons can order cuts and all of the meat for the restaurarnt is cut in-house.                                                                                                                                                                                                                                                                                                                                                                                          | 209 6th St, West Palm Beach, FL 33401, USA                                                             |          26.7191266 |          -80.0512068 | West Palm Beach, FL                  | ChIJuypWtofW2IgRg3z8xafu5y0                                                                                                                                                                                                                                     | test_episode_info1
